seconds_left,margin,opp_bonus,p_win_with_ball
60,3,1-and-1,0.8602
60,3,double,0.8723
60,4,none,0.8931
60,4,1-and-1,0.9044
60,4,double,0.9152
60,5,none,0.9317
60,5,1-and-1,0.9404
60,5,double,0.9476
60,6,none,0.9566
60,6,1-and-1,0.9632
60,6,double,0.9685
